id;intitule;date_creation;phase;nb_mots;temps_sablier
1;Optional;2020-05-08;RECRUTEMENT;79202;88691
2;magenta proactive;2020-05-08;MANCHE_2;9075;81109
3;Branding Small;2020-05-08;TERMINEE;97129;48507
4;channels mobile;2020-05-08;CHOIX_MOTS;28053;48517
5;COM;2020-05-08;CREEE;5335;78047
6;Refined bandwidth;2020-05-08;MANCHE_3;99115;97575
7;Intranet;2020-05-08;RECRUTEMENT;41310;91761
8;withdrawal mobile payment;2020-05-08;MANCHE_3;38883;87405
9;Security Tala;2020-05-07;CHOIX_MOTS;81675;77805
10;invoice synthesizing;2020-05-08;MANCHE_1;46326;60132
